Time,Latitude, Longitute
19970181942,42.275343,-71.8008545
19989200116,42.275343,-71.800854
20009506941,42.275343,-71.800854
20029436112,42.275343,-71.8008534
20049515963,42.275343,-71.8008529
20069962025,42.275343,-71.8008523
20089359045,42.275343,-71.8008516
20109295130,42.275343,-71.8008516
20129333020,42.2753431,-71.8008505
20149220944,42.2753436,-71.8008487
20169923068,42.2753435,-71.8008465
20189270974,42.2753439,-71.8008433
20209235907,42.2753439,-71.8008433
20229551077,42.2753444,-71.8008394
20249715090,42.2753446,-71.8008346
20269127131,42.2753451,-71.8008287
20289031983,42.2753459,-71.8008218
20309292078,42.2753459,-71.8008218
20329164982,42.2753463,-71.8008142
20349589110,42.2753475,-71.8008049
20369323969,42.2753478,-71.8007952
20389179945,42.2753485,-71.800785
20409133912,42.2753485,-71.800785
20429779053,42.2753497,-71.8007733
20449136973,42.275351,-71.8007611
20469113112,42.2753524,-71.8007482
20489283085,42.2753537,-71.8007348
20509620905,42.2753537,-71.8007348
20529175044,42.2753554,-71.8007207
20549273968,42.2753574,-71.8007055
20569160939,42.2753594,-71.8006901
20589195967,42.2753612,-71.8006747
20615961075,42.2753612,-71.8006747
20629102946,42.2753636,-71.8006582
20649183989,42.2753657,-71.8006416
20669282914,42.2753682,-71.8006242
20689285994,42.2753705,-71.8006067
20709687949,42.2753705,-71.8006067
20729111910,42.2753734,-71.8005885
20749062062,42.275376,-71.8005699
20769129038,42.2753787,-71.8005513
20796992064,42.2753815,-71.8005322
20809360028,42.2753815,-71.8005322
20829277039,42.2753847,-71.800512
20849239111,42.2753876,-71.8004922
20869218111,42.2753908,-71.8004716
20889842988,42.2753938,-71.8004507
20909377099,42.2753938,-71.8004507
20929214955,42.2753968,-71.8004295
20949203015,42.2753994,-71.8004081
20970354081,42.2754025,-71.8003859
20989439965,42.2754048,-71.800364
21009608031,42.2754048,-71.800364
21029199124,42.2754072,-71.8003417
21049298048,42.2754096,-71.8003192
21069744111,42.275412,-71.8002965
21089225054,42.2754144,-71.8002735
21109291077,42.2754144,-71.8002735
21129224062,42.2754168,-71.8002505
21149913073,42.2754191,-71.8002274
21169353009,42.2754215,-71.8002048
21189590931,42.2754239,-71.8001824
21209382058,42.2754239,-71.8001824
21229227066,42.2754262,-71.8001602
21249840022,42.2754289,-71.8001382
21269197941,42.2754313,-71.8001164
21289210082,42.2754336,-71.800095
21309108019,42.2754336,-71.800095
21329165936,42.2754361,-71.8000739
21349762917,42.2754386,-71.8000531
21369194031,42.275441,-71.8000326
21389234066,42.2754434,-71.8000125
21409224987,42.2754434,-71.8000125
21429738999,42.2754453,-71.7999935
21449136019,42.2754473,-71.7999744
21469090939,42.2754495,-71.7999552
21489161969,42.2754514,-71.7999365
21509714127,42.2754514,-71.7999365
21529284955,42.2754535,-71.7999182
21549283982,42.2754556,-71.7998999
21569201947,42.2754575,-71.7998827
21589365006,42.2754595,-71.7998656
21609225989,42.2754595,-71.7998656
21629095078,42.2754614,-71.7998482
21649181128,42.2754632,-71.7998317
21669137955,42.2754649,-71.7998153
21703506947,42.2754668,-71.799799
21712448121,42.2754668,-71.799799
21729167939,42.2754684,-71.7997826
21749018908,42.2754701,-71.7997671
21769637108,42.2754718,-71.7997522
21789060116,42.2754733,-71.7997385
21809216977,42.2754733,-71.7997385
21829224110,42.2754747,-71.7997253
21849260092,42.275476,-71.7997134
21870755911,42.2754771,-71.7997024
21889147997,42.2754779,-71.7996918
21909183026,42.2754779,-71.7996918
21929049015,42.2754789,-71.7996817
21949686051,42.2754797,-71.7996722
21969197035,42.2754808,-71.7996628
21989171982,42.2754817,-71.7996534
22010133982,42.2754817,-71.7996534
22029276133,42.2754827,-71.7996448
22049840928,42.2754833,-71.7996365
22069272995,42.2754838,-71.799629
22089056015,42.2754842,-71.7996225
22109090090,42.2754842,-71.7996225
22129620076,42.2754846,-71.7996164
22149231911,42.2754847,-71.7996114
22169127942,42.2754854,-71.7996064
22189461947,42.2754857,-71.7996028
22209172965,42.2754857,-71.7996028
22229623080,42.2754859,-71.799599
22249241114,42.275486,-71.7995956
22269146920,42.2754862,-71.7995914
22289191962,42.2754864,-71.799587
22309256077,42.2754864,-71.799587
22329750061,42.275486,-71.7995831
